id,product,city,category,priority,complaint_date,complaint
1,Tablet S,Bangalore,Delivery,Medium,2025-06-11,My Tablet S has an issue: screen not working.
2,Smartwatch Z,Delhi,Delivery,Medium,2025-12-04,My Smartwatch Z has an issue: app crashes.
3,Tablet S,Ahmedabad,Delivery,High,2025-03-29,My Tablet S has an issue: shipment lost.
4,Earbuds Q,Lucknow,Software,High,2025-09-07,My Earbuds Q has an issue: payment failed.
5,Earbuds Q,Ahmedabad,Network,High,2025-05-01,My Earbuds Q has an issue: payment failed.
6,Laptop Pro,Chennai,Billing,Critical,2025-11-16,My Laptop Pro has an issue: no sound.
7,Earbuds Q,Ahmedabad,Billing,Medium,2025-03-14,My Earbuds Q has an issue: payment failed.
8,Smartwatch Z,Jaipur,Billing,Low,2025-01-20,My Smartwatch Z has an issue: screen not working.
9,Earbuds Q,Pune,Billing,Medium,2025-04-09,My Earbuds Q has an issue: device overheating.
10,Smartwatch Z,Bangalore,Billing,High,2025-09-08,My Smartwatch Z has an issue: wifi disconnects.
11,Phone X,Ahmedabad,Hardware,Low,2025-12-28,My Phone X has an issue: screen not working.
12,Smartwatch Z,Lucknow,Delivery,Low,2025-08-10,My Smartwatch Z has an issue: payment failed.
13,Tablet S,Chennai,Delivery,Low,2025-02-19,My Tablet S has an issue: battery drains fast.
14,Tablet S,Lucknow,Hardware,High,2025-09-10,My Tablet S has an issue: shipment lost.
15,Laptop Pro,Kolkata,Billing,High,2025-07-21,My Laptop Pro has an issue: battery drains fast.
16,Earbuds Q,Pune,Hardware,Medium,2025-12-23,My Earbuds Q has an issue: device overheating.
17,Earbuds Q,Bangalore,Software,Low,2025-02-13,My Earbuds Q has an issue: no sound.
18,Phone X,Ahmedabad,Delivery,Low,2025-05-04,My Phone X has an issue: app crashes.
19,Phone X,Bangalore,Billing,Medium,2025-09-05,My Phone X has an issue: shipment lost.
20,Tablet S,Jaipur,Hardware,Medium,2025-07-03,My Tablet S has an issue: payment failed.
21,Phone X,Delhi,Hardware,Critical,2025-02-13,My Phone X has an issue: battery drains fast.
22,Earbuds Q,Delhi,Hardware,Low,2025-07-27,My Earbuds Q has an issue: screen not working.
23,Tablet S,Pune,Network,Critical,2025-03-07,My Tablet S has an issue: shipment lost.
24,Smartwatch Z,Hyderabad,Software,Low,2025-01-26,My Smartwatch Z has an issue: wifi disconnects.
25,Phone X,Hyderabad,Hardware,Low,2025-01-24,My Phone X has an issue: camera blurred.
26,Earbuds Q,Hyderabad,Delivery,Medium,2025-02-09,My Earbuds Q has an issue: camera blurred.
27,Tablet S,Jaipur,Billing,High,2025-10-09,My Tablet S has an issue: wifi disconnects.
28,Tablet S,Chennai,Network,Medium,2025-06-07,My Tablet S has an issue: camera blurred.
29,Smartwatch Z,Delhi,Billing,Low,2025-04-19,My Smartwatch Z has an issue: delivery delayed.
30,Smartwatch Z,Mumbai,Network,Medium,2025-09-01,My Smartwatch Z has an issue: battery drains fast.
31,Laptop Pro,Jaipur,Delivery,Medium,2025-02-22,My Laptop Pro has an issue: camera blurred.
32,Phone X,Jaipur,Software,Low,2025-09-21,My Phone X has an issue: camera blurred.
33,Tablet S,Kolkata,Delivery,High,2025-12-31,My Tablet S has an issue: battery drains fast.
34,Laptop Pro,Jaipur,Software,High,2025-12-01,My Laptop Pro has an issue: delivery delayed.
35,Smartwatch Z,Jaipur,Network,Low,2025-12-17,My Smartwatch Z has an issue: shipment lost.
36,Smartwatch Z,Jaipur,Software,Medium,2025-05-20,My Smartwatch Z has an issue: shipment lost.
37,Phone X,Hyderabad,Delivery,High,2025-10-12,My Phone X has an issue: wifi disconnects.
38,Phone X,Lucknow,Network,Medium,2025-06-28,My Phone X has an issue: camera blurred.
39,Laptop Pro,Ahmedabad,Hardware,Low,2025-05-07,My Laptop Pro has an issue: app crashes.
40,Smartwatch Z,Delhi,Billing,Medium,2025-11-02,My Smartwatch Z has an issue: no sound.
41,Tablet S,Pune,Delivery,Low,2025-12-24,My Tablet S has an issue: wifi disconnects.
42,Phone X,Lucknow,Hardware,Low,2025-05-21,My Phone X has an issue: delivery delayed.
43,Laptop Pro,Bangalore,Billing,Medium,2025-10-02,My Laptop Pro has an issue: app crashes.
44,Laptop Pro,Bangalore,Software,Low,2025-03-07,My Laptop Pro has an issue: payment failed.
45,Laptop Pro,Lucknow,Hardware,Medium,2025-11-20,My Laptop Pro has an issue: payment failed.
46,Laptop Pro,Jaipur,Network,Medium,2025-12-11,My Laptop Pro has an issue: app crashes.
47,Earbuds Q,Lucknow,Billing,Low,2025-05-30,My Earbuds Q has an issue: device overheating.
48,Laptop Pro,Pune,Delivery,High,2025-03-15,My Laptop Pro has an issue: device overheating.
49,Earbuds Q,Bangalore,Software,Low,2025-03-18,My Earbuds Q has an issue: app crashes.
50,Phone X,Mumbai,Delivery,Low,2025-02-07,My Phone X has an issue: camera blurred.
51,Tablet S,Jaipur,Delivery,Low,2025-04-05,My Tablet S has an issue: battery drains fast.
52,Earbuds Q,Kolkata,Hardware,Low,2025-01-18,My Earbuds Q has an issue: app crashes.
53,Earbuds Q,Bangalore,Delivery,Medium,2025-03-13,My Earbuds Q has an issue: app crashes.
54,Laptop Pro,Lucknow,Billing,Medium,2025-09-12,My Laptop Pro has an issue: delivery delayed.
55,Earbuds Q,Hyderabad,Delivery,High,2025-09-12,My Earbuds Q has an issue: camera blurred.
56,Earbuds Q,Chennai,Software,Medium,2025-02-04,My Earbuds Q has an issue: wifi disconnects.
57,Tablet S,Bangalore,Software,Medium,2025-04-20,My Tablet S has an issue: payment failed.
58,Phone X,Jaipur,Software,Low,2025-12-22,My Phone X has an issue: wifi disconnects.
59,Smartwatch Z,Mumbai,Hardware,Medium,2025-02-08,My Smartwatch Z has an issue: battery drains fast.
60,Laptop Pro,Pune,Delivery,Low,2025-06-22,My Laptop Pro has an issue: wifi disconnects.
61,Tablet S,Bangalore,Network,Low,2025-08-30,My Tablet S has an issue: delivery delayed.
62,Smartwatch Z,Bangalore,Hardware,High,2025-06-27,My Smartwatch Z has an issue: delivery delayed.
63,Tablet S,Delhi,Billing,High,2025-02-26,My Tablet S has an issue: payment failed.
64,Phone X,Ahmedabad,Hardware,Low,2025-11-12,My Phone X has an issue: no sound.
65,Laptop Pro,Delhi,Network,Low,2025-07-20,My Laptop Pro has an issue: device overheating.
66,Phone X,Jaipur,Hardware,Critical,2025-05-12,My Phone X has an issue: battery drains fast.
67,Tablet S,Lucknow,Delivery,High,2025-09-01,My Tablet S has an issue: device overheating.
68,Earbuds Q,Lucknow,Hardware,Low,2025-03-08,My Earbuds Q has an issue: battery drains fast.
69,Earbuds Q,Pune,Software,Medium,2025-04-07,My Earbuds Q has an issue: device overheating.
70,Earbuds Q,Ahmedabad,Software,Low,2025-02-18,My Earbuds Q has an issue: camera blurred.
71,Smartwatch Z,Jaipur,Hardware,Low,2025-09-29,My Smartwatch Z has an issue: device overheating.
72,Phone X,Delhi,Delivery,Low,2025-11-25,My Phone X has an issue: battery drains fast.
73,Phone X,Chennai,Software,Medium,2025-11-10,My Phone X has an issue: battery drains fast.
74,Earbuds Q,Hyderabad,Billing,Critical,2025-09-02,My Earbuds Q has an issue: wifi disconnects.
75,Phone X,Kolkata,Network,Low,2025-09-23,My Phone X has an issue: shipment lost.
76,Tablet S,Delhi,Software,Medium,2025-11-10,My Tablet S has an issue: app crashes.
77,Smartwatch Z,Jaipur,Delivery,Low,2025-11-08,My Smartwatch Z has an issue: shipment lost.
78,Earbuds Q,Jaipur,Network,High,2025-02-27,My Earbuds Q has an issue: camera blurred.
79,Phone X,Bangalore,Billing,Medium,2025-12-31,My Phone X has an issue: device overheating.
80,Phone X,Jaipur,Billing,Medium,2025-09-21,My Phone X has an issue: payment failed.
81,Phone X,Pune,Hardware,Low,2025-03-21,My Phone X has an issue: camera blurred.
82,Tablet S,Bangalore,Network,Medium,2025-08-21,My Tablet S has an issue: shipment lost.
83,Laptop Pro,Chennai,Network,High,2025-03-28,My Laptop Pro has an issue: no sound.
84,Tablet S,Mumbai,Software,Medium,2025-07-21,My Tablet S has an issue: no sound.
85,Earbuds Q,Delhi,Delivery,Medium,2025-07-23,My Earbuds Q has an issue: camera blurred.
86,Phone X,Lucknow,Hardware,Low,2025-04-29,My Phone X has an issue: wifi disconnects.
87,Smartwatch Z,Kolkata,Software,Low,2025-07-01,My Smartwatch Z has an issue: camera blurred.
88,Earbuds Q,Chennai,Billing,Low,2025-07-04,My Earbuds Q has an issue: no sound.
89,Phone X,Kolkata,Hardware,Medium,2025-04-12,My Phone X has an issue: app crashes.
90,Phone X,Ahmedabad,Delivery,Medium,2025-07-08,My Phone X has an issue: battery drains fast.
91,Earbuds Q,Lucknow,Network,Low,2025-01-10,My Earbuds Q has an issue: no sound.
92,Laptop Pro,Hyderabad,Network,High,2025-10-08,My Laptop Pro has an issue: device overheating.
93,Laptop Pro,Jaipur,Network,Critical,2025-09-07,My Laptop Pro has an issue: device overheating.
94,Earbuds Q,Delhi,Delivery,Low,2025-06-27,My Earbuds Q has an issue: camera blurred.
95,Laptop Pro,Pune,Network,Medium,2025-06-03,My Laptop Pro has an issue: screen not working.
96,Tablet S,Jaipur,Software,Low,2025-01-30,My Tablet S has an issue: battery drains fast.
97,Laptop Pro,Mumbai,Billing,Low,2025-01-18,My Laptop Pro has an issue: delivery delayed.
